file,n,a,recursion calls,time
graf_10_5.txt,10,5,183,0.000105423
graf_10_6b.txt,10,5,202,6.56E-05
graf_10_7.txt,10,5,277,8.83E-05
graf_15_14.txt,15,5,6019,0.00245165
graf_20_7.txt,20,7,10381,0.00776363
graf_20_7.txt,20,10,10500,0.00787336
graf_20_12.txt,20,10,39277,0.0245417
graf_20_17.txt,20,10,86411,0.0484901
graf_30_10.txt,30,10,965503,0.888179
graf_30_10.txt,30,15,733615,0.911922
graf_30_20.txt,30,15,6653893,6.93886
graf_32_22.txt,32,10,10752530,5.53075
graf_32_25.txt,32,12,39466809,20.5361
graf_35_25.txt,35,12,133293656,73.9693
graf_35_25.txt,35,17,147857192,109.697
graf_40_8.txt,40,15,15711139,16.795
graf_40_8.txt,40,20,15375162,19.2777
graf_40_15.txt,40,15,308323285,259.537
graf_40_15.txt,40,20,297291358,312.076
graf_40_25.txt,40,20,795689275,842.631
