file,n,a,mpi_1,mpi_2,mpi_3,omp_data,omp_task,ref_seq,seq
graf_10_5.txt,10,5,0.0388391,0.038385,0.700087,0.00013593,0.000471052,0.0,0.000105423
graf_10_6b.txt,10,5,0.0476822,0.0494458,0.0399271,0.00699702,0.00681256,0.0,6.56e-05
graf_10_7.txt,10,5,0.0330964,0.049645,0.042686,0.00770061,0.000427268,0.0,8.83e-05
graf_15_14.txt,15,5,0.040798,0.0466972,0.0464536,0.00645705,0.00252995,0.0,0.00245165
graf_20_12.txt,20,10,0.0590673,0.117091,0.103996,0.00476989,0.0034434,0.02,0.0245417
graf_20_17.txt,20,10,0.0598901,0.133543,0.137302,0.00298345,0.010151,0.02,0.0484901
graf_20_7.txt,20,7,0.0583538,0.0775172,0.0430638,0.00152065,0.00191714,0.02,0.00776363
graf_20_7.txt,20,10,0.0513671,0.0899592,0.0709878,0.00334884,0.00652727,0.02,0.00787336
graf_30_10.txt,30,10,0.0627989,0.465937,0.203179,0.036411,0.130106,1.9,0.888179
graf_30_10.txt,30,15,1.07399,4.01164,2.19649,0.0657218,0.0981957,3.9,0.911922
graf_30_20.txt,30,15,1.1142,7.92533,5.59965,0.321835,0.630512,13.0,6.93886
graf_32_22.txt,32,10,0.0713758,3.48629,0.646947,0.587601,1.04452,6.3,5.53075
graf_32_25.txt,32,12,0.211281,11.1633,3.06861,1.60171,3.58045,24.0,20.5361
graf_35_25.txt,35,12,0.221909,36.6458,7.02315,5.73599,10.2234,65.0,73.9693
graf_35_25.txt,35,17,2.6525,88.4059,33.2186,6.07222,16.0082,191.0,109.697
graf_40_15.txt,40,15,1.57929,120.68,21.7178,8.10201,51.2015,403.0,259.537
graf_40_15.txt,40,20,2.80487,295.644,68.5089,6.37945,45.8628,2312.0,312.076
graf_40_25.txt,40,20,5.16683,,98.7472,60.2925,114.198,5052.0,842.631
graf_40_8.txt,40,15,1.54672,17.0876,7.38073,0.422758,2.66689,180.0,16.795
graf_40_8.txt,40,20,2.80769,30.6209,14.561,0.34287,3.33941,275.0,19.2777
