file,n,a,recursion calls,time
graf_10_5.txt,10,5,241,0.038385
graf_10_6b.txt,10,5,252,0.0494458
graf_10_7.txt,10,5,316,0.049645
graf_15_14.txt,15,5,5598,0.0466972
graf_20_7.txt,20,7,13214,0.0775172
graf_20_7.txt,20,10,20462,0.0899592
graf_20_12.txt,20,10,59939,0.117091
graf_20_17.txt,20,10,119046,0.133543
graf_30_10.txt,30,10,959989,0.465937
graf_30_10.txt,30,15,1709511,4.01164
graf_30_20.txt,30,15,12693905,7.92533
graf_32_22.txt,32,10,9786022,3.48629
graf_32_25.txt,32,12,37036849,11.1633
graf_35_25.txt,35,12,121935274,36.6458
graf_35_25.txt,35,17,231280089,88.4059
graf_40_8.txt,40,15,23371224,17.0876
graf_40_8.txt,40,20,42062362,30.6209
graf_40_15.txt,40,15,311500404,120.68
graf_40_15.txt,40,20,742044041,295.644
