file,n,a,recursion calls,time
graf_10_5.txt,10,5,218,0
graf_10_6b.txt,10,5,305,0
graf_10_7.txt,10,5,308,0
graf_15_14.txt,15,5,9000,0
graf_20_7.txt,20,7,34000,0.02
graf_20_7.txt,20,10,43000,0.02
graf_20_12.txt,20,10,142000,0.02
graf_20_17.txt,20,10,235000,0.02
graf_30_10.txt,30,10,9000000,1.9
graf_30_10.txt,30,15,17000000,3.9
graf_30_20.txt,30,15,59000000,13
graf_32_22.txt,32,10,66000000,6.3
graf_32_25.txt,32,12,268000000,24
graf_35_25.txt,35,12,662000000,65
graf_35_25.txt,35,17,21000000000,191
graf_40_8.txt,40,15,828000000,180
graf_40_8.txt,40,20,11000000000,275
graf_40_15.txt,40,15,41000000000,403
graf_40_15.txt,40,20,109000000000,2312
graf_40_25.txt,40,20,266000000000,5052
