filename,partition_size,recursive_calls,time,min_cut_weight
graf_10_5.txt,5,173,0.00010237,974
graf_10_6b.txt,5,193,6.4663e-05,1300
graf_10_7.txt,5,258,7.8638e-05,1593
graf_15_14.txt,5,6014,0.00170737,4963
graf_20_7.txt,7,10381,0.00657911,2110
graf_20_7.txt,10,10500,0.00805486,2378
graf_20_12.txt,10,39306,0.0253257,5060
graf_20_17.txt,10,86422,0.0503865,7995
graf_30_10.txt,10,965627,0.938501,4636
graf_30_10.txt,15,734708,0.939981,5349
graf_30_20.txt,15,6654015,7.2767,13159
graf_32_22.txt,10,10753026,6.00893,13707
graf_32_25.txt,12,39466809,21.7808,18114
graf_35_25.txt,12,133293705,77.4905,18711
graf_35_25.txt,17,147857184,114.859,21163
graf_40_8.txt,15,15711515,17.46,4256
graf_40_8.txt,20,15375067,20.2405,4829
graf_40_15.txt,15,308322826,274.255,10098
graf_40_15.txt,20,297290797,326.842,11361
graf_40_25.txt,20,795693632,816.771,21697
