filename,partition_size,recursive_calls,time,min_cut_weight
graf_10_5.txt,5,202,2.8174e-05,974
graf_10_6b.txt,5,210,3.4576e-05,1300
graf_10_7.txt,5,308,3.8674e-05,1593
graf_15_14.txt,5,6030,0.000736259,4963
graf_20_7.txt,7,10393,0.00271588,2110
graf_20_7.txt,10,10500,0.00322031,2378
graf_20_12.txt,10,39380,0.0103529,5060
graf_20_17.txt,10,86432,0.0228289,7995
graf_30_10.txt,10,965553,0.379218,4636
graf_30_10.txt,15,734083,0.386818,5349
graf_30_20.txt,15,6654058,3.00948,13159
graf_32_22.txt,10,10753122,3.96191,13707
graf_32_25.txt,12,39466809,14.4295,18114
graf_35_25.txt,12,133293750,52.7295,18711
graf_35_25.txt,17,147857302,77.5194,21163
graf_40_8.txt,15,15711700,12.0509,4256
graf_40_8.txt,20,15375182,13.9673,4829
graf_40_15.txt,15,308323413,187.376,10098
graf_40_15.txt,20,297291807,224.755,11361
graf_40_25.txt,20,795695897,553.727,21697
