filename,partition_size,recursive_calls,time,min_cut_weight
graf_10_5.txt,5,197,0.000461792,974
graf_10_6b.txt,5,218,0.000411145,1300
graf_10_7.txt,5,275,0.000388532,1593
graf_15_14.txt,5,6017,0.000642478,4963
graf_20_7.txt,7,10738,0.00123799,2110
graf_20_7.txt,10,9972,0.0012054,2378
graf_20_12.txt,10,38712,0.00306687,5060
graf_20_17.txt,10,82069,0.00590189,7995
graf_30_10.txt,10,1022874,0.0970423,4636
graf_30_10.txt,15,791676,0.102495,5349
graf_30_20.txt,15,6394066,0.579716,13159
graf_32_22.txt,10,11588368,0.974676,13707
graf_32_25.txt,12,41520711,3.00642,18114
graf_35_25.txt,12,120115964,9.5091,18711
graf_35_25.txt,17,154586869,15.9676,21163
graf_40_8.txt,15,14443055,2.31029,4256
graf_40_8.txt,20,17018838,3.16064,4829
graf_40_15.txt,15,433466778,48.4389,10098
graf_40_15.txt,20,291614775,43.3519,11361
graf_40_25.txt,20,858346125,122.156,21697
